model,dataset,label,legacy_source,paper_auc,baseline_auc,baseline_delta_auc_vs_paper,sisa_mean_auc,sisa_std_auc,sisa_min_auc,sisa_max_auc,sisa_range_auc,sisa_mean_delta_auc_vs_baseline,sisa_mean_delta_auc_vs_paper,auc_mean_beats_baseline,auc_mean_beats_paper,auc_all_seeds_beat_baseline,auc_all_seeds_beat_paper,paper_logloss,baseline_logloss,baseline_delta_logloss_vs_paper,sisa_mean_logloss,sisa_std_logloss,sisa_min_logloss,sisa_max_logloss,sisa_range_logloss,sisa_mean_delta_logloss_vs_baseline,sisa_mean_delta_logloss_vs_paper,logloss_mean_beats_baseline,logloss_mean_beats_paper,logloss_all_seeds_beat_baseline,logloss_all_seeds_beat_paper,sisa_20262027_auc,sisa_20262027_logloss,sisa_20262028_auc,sisa_20262028_logloss,sisa_20262029_auc,sisa_20262029_logloss
RankMixer,MerRec_Action,Cart,sisa_native_strict,0.793,0.792999,-1.0000000000287557e-06,0.811887,0.0021449566429184554,0.810422,0.814349,0.003927000000000014,0.018888000000000016,0.018886999999999987,True,True,True,True,0.0539,0.053894,-6.0000000000060005e-06,0.05235666666666666,7.086842268128289e-05,0.052303,0.052437,0.00013399999999999523,-0.001537333333333335,-0.001543333333333341,True,True,True,True,0.81089,0.05233,0.814349,0.052303,0.810422,0.052437
RankMixer,MerRec_Action,Checkout,sisa_native_strict,0.8379,0.836097,-0.001802999999999999,0.8403526666666666,0.006618504690134574,0.834801,0.847677,0.012875999999999999,0.004255666666666658,0.0024526666666666586,True,True,False,False,0.0047,0.004732,3.199999999999991e-05,0.004733666666666666,0.00011931610676406315,0.00464,0.004868,0.0002279999999999999,1.6666666666663096e-06,3.366666666666622e-05,False,False,False,False,0.83858,0.004693,0.847677,0.00464,0.834801,0.004868
RankMixer,MerRec_Action,Like,sisa_native_strict,0.7448,0.744913,0.00011300000000002974,0.761264,0.001726954834383376,0.759983,0.763228,0.0032450000000000534,0.016351000000000004,0.016464000000000034,True,True,True,True,0.3319,0.331885,-1.4999999999987246e-05,0.32238666666666665,0.0014211352269693862,0.320886,0.323712,0.002825999999999995,-0.00949833333333333,-0.009513333333333318,True,True,True,True,0.759983,0.322562,0.760581,0.323712,0.763228,0.320886
RankMixer,MerRec_Action,Offer,sisa_native_strict,0.7288,0.728575,-0.00022500000000003073,0.7354953333333333,0.0029805154475917484,0.732952,0.738775,0.005822999999999912,0.006920333333333306,0.006695333333333275,True,True,True,True,0.0214,0.021398,-1.9999999999985307e-06,0.021386666666666665,2.7736858750285637e-05,0.021356,0.02141,5.3999999999998494e-05,-1.1333333333335416e-05,-1.3333333333333947e-05,True,True,False,False,0.732952,0.02141,0.734759,0.021394,0.738775,0.021356
RankMixer,MerRec_Action,Purchase,sisa_native_strict,0.8407,0.840563,-0.00013700000000005375,0.8432666666666666,0.009171193179370615,0.837675,0.853851,0.01617600000000008,0.0027036666666666598,0.002566666666666606,True,True,False,False,0.003,0.00305,5.000000000000013e-05,0.0030666666666666668,9.033456333725944e-05,0.002998,0.003169,0.00017100000000000014,1.6666666666666566e-05,6.66666666666667e-05,False,False,False,False,0.838274,0.003033,0.853851,0.002998,0.837675,0.003169
RankMixer,QK_Video_Action,click,sisa_native_strict,0.9318,0.931713,-8.699999999994823e-05,0.9328773333333333,0.0004225000986193102,0.932455,0.9333,0.0008449999999999847,0.0011643333333333228,0.0010773333333333746,True,True,True,True,0.2547,0.254815,0.00011500000000003174,0.25320666666666664,0.0008616996769950437,0.252233,0.253871,0.0016380000000000283,-0.0016083333333333782,-0.0014933333333333465,True,True,True,True,0.9333,0.252233,0.932455,0.253516,0.932877,0.253871
RankMixer,QK_Video_Action,follow,sisa_native_strict,0.9108,0.910614,-0.00018600000000001948,0.9117486666666667,0.0012479684825080018,0.910454,0.912944,0.0024899999999999922,0.0011346666666666172,0.0009486666666665977,True,True,False,False,0.0052,0.005177,-2.2999999999999583e-05,0.005227333333333334,5.57344896211791e-05,0.005163,0.005261,9.8e-05,5.033333333333365e-05,2.733333333333407e-05,False,False,False,False,0.911848,0.005163,0.912944,0.005261,0.910454,0.005258
RankMixer,QK_Video_Action,like,sisa_native_strict,0.9444,0.944118,-0.00028200000000000447,0.94405,0.001227195583434045,0.943098,0.945435,0.0023370000000000335,-6.8000000000068e-05,-0.0003500000000000725,False,False,False,False,0.0375,0.037417,-8.299999999999974e-05,0.03790833333333333,0.0008649140612415398,0.036966,0.038666,0.0017000000000000001,0.0004913333333333297,0.00040833333333333,False,False,False,False,0.945435,0.036966,0.943098,0.038666,0.943617,0.038093
RankMixer,QK_Video_Action,share,sisa_native_strict,0.929,0.929184,0.00018399999999996197,0.9292023333333334,0.00108279838074008,0.927964,0.929971,0.002006999999999981,1.8333333333342416e-05,0.0002023333333333044,True,True,False,False,0.0054,0.005411,1.0999999999999725e-05,0.005480666666666666,0.00010016652800877814,0.005404,0.005594,0.00019000000000000006,6.96666666666658e-05,8.066666666666552e-05,False,False,False,False,0.929971,0.005404,0.927964,0.005594,0.929672,0.005444
RankMixer,TencentGR_10M_Action,is_click,sisa_expansion_acd,0.8069,0.815759,0.008859000000000061,0.8243776666666666,0.0030553713904095726,0.821511,0.827592,0.006081000000000003,0.008618666666666552,0.017477666666666614,True,True,True,True,0.0412,0.061211,0.020011,0.06451333333333333,0.004804280625997335,0.05899,0.067723,0.008733000000000005,0.003302333333333324,0.023313333333333325,False,False,False,False,0.827592,0.05899,0.821511,0.066827,0.82403,0.067723
